title,subtitle,release_date,length,keysig,tempo,label,remix,collaboration,link,art
Phantom,,2017-7-10,253,F / Dm,128,Rushdown,false,false,https://fanlink.tv/SimilarOutskirtsPhantom,https://i1.sndcdn.com/artworks-000232933218-ffbdjf-original.jpg
Our World,Similar Outskirts Remix,2017-8-14,339,D / Bm,120,Independent,true,false,https://soundcloud.com/similar-outskirts/our-world-remix,https://i1.sndcdn.com/artworks-000238230107-oo7d27-original.jpg
Lonely Tuning,Similar Outskirts Remix,2017-8-24,293,D# / Cm,100,Independent,true,false,https://soundcloud.com/similar-outskirts-extra/lonely-tuning-remix,https://i1.sndcdn.com/artworks-000239720248-34b556-original.jpg
Wait For Me,Similar Outskirts Remix,2017-9-1,300,"G / Em, A / F#m",150,Independent,true,false,https://soundcloud.com/similar-outskirts/wait-for-me-remix,https://i1.sndcdn.com/artworks-000240844547-41zu9t-original.jpg
Gadget,,2017-10-13,325,A / F#m,128,Independent,false,false,https://similaroutskirts.fanlink.tv/gadget,https://f4.bcbits.com/img/a2015114710_10.jpg
Daring!!,Similar Outskirts Remix,2018-1-10,241,F / Dm,150,Independent,true,false,https://soundcloud.com/similar-outskirts-extra/daring-remix,https://i1.sndcdn.com/artworks-000283273985-xul607-t500x500.jpg
Daredevil,,2018-2-23,317,A# / Gm,128,Independent,false,false,https://similaroutskirts.fanlink.tv/daredevil-ep,https://f4.bcbits.com/img/a2842958488_10.jpg
Space Combat,,2018-2-24,280,G# / Fm,150,Independent,false,false,https://similaroutskirts.fanlink.tv/daredevil-ep,https://f4.bcbits.com/img/a2842958488_10.jpg
Triumphant,,2018-2-25,266,G# / Fm,90,Independent,false,false,https://similaroutskirts.fanlink.tv/daredevil-ep,https://f4.bcbits.com/img/a2842958488_10.jpg
Street Race,,2018-2-26,246,G / Em,160,Independent,false,false,https://similaroutskirts.fanlink.tv/daredevil-ep,https://f4.bcbits.com/img/a2842958488_10.jpg
Amber,,2018-4-14,217,D / Bm,100,Independent,false,false,https://similaroutskirts.fanlink.tv/amber,https://f4.bcbits.com/img/a1482471213_10.jpg
